FileName,Latitude,Longitude
3227 Mallory.JPG,32.707036111111115,-96.76171944444444
3400 Fifty-First.JPG,32.70371111111111,-96.76249722222222
3500 Fifty-First.JPG,32.70394166666667,-96.76213888888888
3502 Mallory.JPG,32.707030555555555,-96.76173333333334
4506 Hedgdon.JPG,32.70655,-96.76155277777778
4510 Hedgdon.JPG,32.70654444444445,-96.76152777777777
4512 Hedgdon.JPG,32.70586111111111,-96.76120833333333
4519 Hedgdon.JPG,32.705847222222225,-96.76122222222222
4520 Hedgdon.JPG,32.70576944444445,-96.76117777777777
4523 Hedgdon.JPG,32.70554722222222,-96.76107777777777
4527 Hedgdron.JPG,32.70603888888889,-96.76129166666666
4530 Hedgdon.JPG,32.70532222222222,-96.76099444444445
4530 Humphrey.JPG,32.705058333333334,-96.76250555555555
4531 Hedgdon.JPG,32.70503888888889,-96.76088055555556
4531 Humphrey.JPG,32.70505555555556,-96.76251111111111
4533 Hedgdon.JPG,32.70489166666667,-96.76091111111111
4534 Hedgdon.JPG,32.70503888888889,-96.7608861111111
4534 Humphrey.JPG,32.70487222222223,-96.76248055555556
4535 Hedgdon.JPG,32.70466944444445,-96.76074166666666
4538 Humphrey.JPG,32.70471388888889,-96.76240555555556
4612 Hedgdon.JPG,32.704838888888894,-96.76076388888889
4615 Hedgdon.JPG,32.70449444444445,-96.76058888888889
4618 Hedgdon.JPG,32.70421944444445,-96.7605138888889
4622 Hedgdon.JPG,32.705555555555556,-96.76108611111111
